fid,@id,wkt,x_wgs84,y_wgs84,historic,name,building,addr:housenumber,addr:postcode,castle_type,source:addr,addr:city:simc,addr:place,addr:city,wikidata,source,addr:street,heritage,wikipedia,tourism,heritage:operator,ref:nid,building:levels,start_date,url,description,website,ruins,access,addr:street:sym_ul,image,source:geometry,source:building,name:de,wikimedia_commons,historic:civilization,phone,name:pl,type,alt_name,ref:ckkp,nid:inscription_date,email,name:en,old_name,amenity,roof:shape,addr:country,heritage:website,opening_hours,operator,roof:colour,ref:inspire,roof:levels,building:colour,building:fireproof,building:material,note,barrier,wheelchair,fee,check_date,wikipedia:pl,roof:material,height,mapillary,contact:phone,material,nid:website,addr:housename,building:architecture,name:ru,architect,building:levels:underground,contact:website,contact:email,name:uk,internet_access,layer,loc_name,name:fr,official_name,contact:facebook,name:cs,short_name,name:be,old_name:de,government,man_made,name:es,abandoned,office,social_facility,stars,alt_name:de,alt_name:pl,ele,fixme,name:hu,nid:ref,religion,source_ref,tower:type,building:use,denomination,heritage:since,museum,name:eo,name:zh,ref,toilets:wheelchair,admin_level,area,charge,cuisine,inscription,internet_access:fee,name:it,name:pt,roof:orientation,social_facility:for,year_of_construction
1477,way/337198493,POINT (15.779659076790118 50.84480605),15.779659076790118,50.84480605,castle,Pałac Cesarski w Mysłakowicach,yes,1,,palace,,,,Mysłakowice,Q19401146,,Sułkowskiego,yes,pl:Pałac w Mysłakowicach,,nid,639/J z 13 maja 1980,,C18,,,https://dziedzictwo.pl/sources/forum/studenckie/myslakowice/myslakowice.html,,,,,,,,File:Mysłakowice pałac 59.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1478,way/337466391,POINT (15.018182240761316 53.89594175),15.018182240761316,53.89594175,manor,Dwór z 1810r.,yes,13a,72-410,,,,Mechowo,,,Starostwo Powiatowe w Kamieniu Pomorskim,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1479,way/337466559,POINT (14.877423211368399 53.833572399999994),14.877423211368399,53.833572399999994,manor,,yes,19,72-410,,,,Baczysław,,,Starostwo Powiatowe w Kamieniu Pomorskim,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1480,way/337466652,POINT (14.92689647996109 53.83122815),14.92689647996109,53.83122815,castle,"Zajazd ""Dzika Róża""",yes,22A,72-410,palace,golczewo.e-mapa.net,0774894,Gadom,,,Starostwo Powiatowe w Kamieniu Pomorskim,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1481,way/337561821,POINT (20.645045662828974 51.6200586),20.645045662828974,51.6200586,castle,Pałac w Gostomi,yes,75,26-420,palace,gugik.gov.pl,0629650,Gostomia,,,,,,,,,,2,,,,,,permit,,,,BDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1482,way/337636197,POINT (14.631363965891826 53.8922162),14.631363965891826,53.8922162,castle,Dwór w Uninie,yes,2,72-518,manor,wolin.e-mapa.net,0786093,Unin,,,Starostwo Powiatowe w Kamieniu Pomorskim,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1483,way/337792281,POINT (17.39940270659869 51.2284871),17.39940270659869,51.2284871,castle,Pałac w Boguszycach,yes,,,palace,,,,,Q890697,,,2,pl:Pałac w Boguszycach,,nid,A/3523/469/W,2,,,,,,,,,,,,Category:Palace in Boguszyce,,,,,,,,,,,,,,,,,,,,,,,Ruiny Pałacu Randowshof,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1484,way/337850958,POINT (19.407478307758822 49.8709799),19.407478307758822,49.8709799,castle,Warownia,yes,27,34-120,,andrychow.e-mapa.net,,Korcza,Inwałd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1485,way/338453868,POINT (20.513500644400445 51.72857365),20.513500644400445,51.72857365,manor,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1486,way/338632281,POINT (17.23076885530142 51.825335800000005),17.23076885530142,51.825335800000005,manor,Pałac Tyszkiewiczów,yes,1,63-860,,pogorzela.e-mapa.net,0954580,,Pogorzela,,,Parkowa,,,,,,,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1487,way/338807712,POINT (17.481492192144728 51.39581905),17.481492192144728,51.39581905,castle,Ruiny pałacu von Reichenbachów,yes,3,56-416,palace,emuia.gugik.gov.pl,0881911,,Goszcz,Q20033928,,Henryka Sienkiewicza,,pl:Pałac w Goszczu,,,,,,,,,yes,,19834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1488,way/338975866,POINT (17.879420659668988 51.7526167),17.879420659668988,51.7526167,castle,Zamek Gutów,house,,,fortress,,,,,Q33084298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,way/339111984,POINT (19.661903860394997 50.12883765),19.661903860394997,50.12883765,manor,Zespół dworski Prochownia z XVIII w.,yes,14,,,,,,Nawojowa Góra,Q16620046,UM w Krzeszowicach,Prochownia,,pl:Zespół dworski Prochownia w Nawojowej Górze,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stowarzyszenia Miłośników Ziemi Krzeszowickiej i osoby prywatne,,,,,,,Willa Domańskich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1490,way/339135470,POINT (19.691446540611757 51.404602499999996),19.691446540611757,51.404602499999996,castle,Pałac Rudowskich,yes,4,97-300,palace,EMUiA@iMPA (mpiotrkowtrybunalski.e-mapa.net),,,Piotrków Trybunalski,,zamkilodzkie.pl,Pasaż Karola Rudowskiego,2,,attraction,nid,276 z 27.03.1979,2,1899,http://www.zamkilodzkie.pl/pliki/piotrkow_palac.htm,"Pałac Rudowskich w Piotrkowie Trybunalskim wzniesiony w końcu XIX wieku (1899,r Rej. Zabytów)",http://www.muzpt.neostrada.pl/,,,,,,,,,,,,,,,,,,,,,PL,,,Państwowa Szkoła Muzyczna,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1491,way/339593992,POINT (16.973108099999997 51.3000489),16.973108099999997,51.3000489,manor,Dwór w Kowalach,yes,14,55-120,,,,Kowale,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1492,way/339924164,POINT (19.85809508587823 49.9733759),19.85809508587823,49.9733759,manor,Dwór Korabniki,yes,1,32-050,,http://portal.gison.pl/skawina,,,Skawina,Q16620067,,Stanisława Wyspiańskiego,2,pl:Zespół dworski w Korabnikach,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1493,way/340414419,POINT (23.7596047283257 50.75247215),23.7596047283257,50.75247215,castle,Pałac z pierwszej połowy XIX w,yes,6,22-550,palace,werbkowice.e-mapa.net,0905280,,Werbkowice,,,Parkowa,,,attraction,,,,,,,"http://www.polskaniezwykla.pl/web/place/5377,werbkowice-zespol-palacowo-parkowy-(xix-w-)--park-krajobrazowy-w-stylu-angielskim-(xix-w-)--.html",,,15710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1494,way/340416262,POINT (22.48854457560735 51.23276035),22.48854457560735,51.23276035,castle,Dworek Węglińskich,yes,118a,20-718,manor,,,,Lublin,,,Aleja Kraśnicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1495,way/340619083,POINT (21.94435003276886 49.9829919),21.94435003276886,49.9829919,castle,Pałac Lubomirskich,yes,11,,palace,boguchwala.e-mapa.net,0644750,,Boguchwała,,,Suszyckich,,,,,,,,,,,,,52260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1496,way/341060465,POINT (15.638462797963465 52.4420813),15.638462797963465,52.4420813,castle,Barokowy pałac w Bobrowicku,yes,29,66-300,palace,emuia.gugik.gov.pl,,,Bobowicko,,,Pałacowa,,,,,,,,https://youtu.be/BLpPJMqm-bw?si=aITMhEz1XiZqj9kW,,,,,,https://photos.app.goo.gl/2ezHqVgmebYfeGjP6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,way/342209490,POINT (15.239804100815762 52.47399425),15.239804100815762,52.47399425,castle,Pałac w Gliśnie,yes,,,palace,,,,,Q11814945,,,,pl:Pałac w Gliśnie,,,,,,https://youtu.be/rzimJZ3ZURE,,,,,,https://photos.app.goo.gl/gaka3P8ZzX8gapSi8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,way/342426542,POINT (21.73856125 50.039731700000004),21.73856125,50.039731700000004,manor,,yes,137,39-124,,iwierzyce.e-mapa.net,,Iwierzyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,way/342581204,POINT (19.237256393048483 49.98019925),19.237256393048483,49.98019925,castle,Pałac Radziwiłłów,yes,,,palace,,,,,,,,2,,,,A-128/M z 11.01.2008,2,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/9a/Poland_Grojec_palace.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500,way/342693785,POINT (18.440192437922704 50.1433615),18.440192437922704,50.1433615,castle,Zamek/Leśniczówka,yes,1,44-292,,emuia.gugik.gov.pl,0216533,,Zwonowice,,,Dębowa,,,,,,,,,,,,,03811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1501,way/343177494,POINT (18.084087192526425 52.746325),18.084087192526425,52.746325,manor,Szkoła Podstawowa w Broniewicach,school,3,88-160,,emuia.gugik.gov.pl,0086355,Broniewice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,way/344090059,POINT (20.999866759476838 50.5905154),20.999866759476838,50.5905154,castle,Sala Rycerska,yes,,,castle,,,,,,,,,,,,,,,,,,,yes,,,,,,,medieval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1503,way/344101854,POINT (17.15927520103894 51.2881104),17.15927520103894,51.2881104,manor,Dwór Skotniki,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1504,way/344812602,POINT (20.756242047974283 51.10738085),20.756242047974283,51.10738085,castle,Gminny Ośrodek Kultury Zameczek,yes,4,26-120,,gugik.gov.pl,0228192,,Bliżyn,,,plac Broel-Platerów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,way/345912981,POINT (16.461120191351498 51.0977317),16.461120191351498,51.0977317,castle,,yes,21d,59-430,palace,wadrozewielkie.e-mapa.net,,Budziszów Mały,,,,,,,,,,,,,dawny pałac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1506,way/346028972,POINT (17.671766554527757 50.179654799999994),17.671766554527757,50.179654799999994,castle,Pałac w Pielgrzymowie,yes,2a,48-155,,,,Pielgrzymów,,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,2,,attraction,,,,,,,,,,,,,,Schloß Pilgersdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zámek Pelhřimovy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1507,way/346079887,POINT (20.228912835768348 49.44942685),20.228912835768348,49.44942685,castle,Kasztel Berzewiczych we Frydmanie,yes,1,34-435,defensive,lapszenizne.e-mapa.net,0442991,,Frydman,,,Kasztelańska,,,,,,,XIVw.,,,,,,08179,,,,,,medieval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1508,way/346749375,POINT (23.364281913069377 50.1887002),23.364281913069377,50.1887002,manor,Pałac Ponińskich,historic,1,37-620,,horynieczdroj.e-mapa.net,0602816,,Horyniec-Zdrój,Q30535554,,Jana III Sobieskiego,2,pl:Pałac w Horyńcu-Zdroju,,,A-1585,,,,,,,,20431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1509,way/347949792,POINT (21.858664728154835 50.013083550000005),21.858664728154835,50.013083550000005,manor,Warsztat Terapii Zajęciowej w Zgłobniu,public,69,36-046,,boguchwala.e-mapa.net,0645330,Zgłobień,,Q30558369,Starostwo Powiatowe w Rzeszowie,,2,,,nid,A-905;A-896,1,early C19,,,https://wtz-zglobien.pl/index.php/home.html,,,,http://www.dioblina.eu/files/dioblina/styles/medium/public/ugl/0/0/1/Dwor_w_Zglobieniu-120140.jpg,,,,,,+48 17 871 61 62,,,,,1975-05-31;2012-09-18,biuro@wtz-zglobien.pl,,,social_facility,,,https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_N_18_BK.22271&rejestr=rejestr-zabytkow,,Polskie Stowarzyszenie Młodzież Sprawna Inaczej,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WTZ Zgłobień,,,,,,,,workshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1510,way/348252385,POINT (19.95594487971204 50.06368835),19.95594487971204,50.06368835,castle,Collegium Śniadeckiego,university,29,31-501,palace,,,,Kraków,Q11691335,,Mikołaja Kopernika,yes,pl:Collegium Śniadeckiego Uniwersytetu Jagiellońskiego,,,,3,1788,,,,,,,,,,,,,,,,,,,,Botanic Garden Museum,Obserwatorium Astronomiczne UJ,,,PL,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1511,way/348317407,POINT (22.61047719877869 50.1586698),22.61047719877869,50.1586698,castle,Największy prywatny zamek w Europie,yes,1,37-530,stately,EMUiA (emuia.geoportal.gov.pl),,Leżachów,,,,,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1512,way/349316351,POINT (22.219212006586023 49.5728917),22.219212006586023,49.5728917,manor,Spichlerz dworski z Ropczyc,museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,way/349495761,POINT (19.88309942257962 49.943018499999994),19.88309942257962,49.943018499999994,manor,Dwór w Mogilanach,yes,3,32-031,,mogilany.e-mapa.net,0327095,,Mogilany,Q122263944,,Rynek,2,pl:Zespół dworski w Mogilanach,,nid,A-319,2,,,,,,,,,EGiB,BDOT,,Category:Manor in Mogilany,,,,,,,1971-09-22,,,,,,,https://zabytek.pl/pl/obiekty/mogilany-zespol-dworski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,way/349896147,POINT (20.18265687851161 53.234244200000006),20.18265687851161,53.234244200000006,castle,Zamek w Działdowie,yes,12,,,,,,Działdowo,Q9386628,,Zamkowa,,pl:Zamek w Działdowie,,,,,,https://youtu.be/81-vs33-n7E?t=878,,,,,,,,,Burg Soldau,,,,,,,,,,,,,,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1515,way/350100587,POINT (14.490050307026024 53.25564275),14.490050307026024,53.25564275,castle,Gryfiński Dom Kultury - filia w Pałacyku pod Lwami,education,48,74-100,palace,,,,Gryfino,Q33256046,,Bolesława Chrobrego,2,,,nid,626,2,,,,https://www.gdk.com.pl/index.php,,,,,,,,,,+48 91 416 29 50,,,,,,sekretariat.palacyk@gdk.com.pl,,,community_centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Будинок Культури Грифіно,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,way/350328398,POINT (22.20800978557198 49.57426305),22.20800978557198,49.57426305,manor,Dworek podmiejski Stupnickich,office,3,,,emuia.gugik.gov.pl,,,Sanok,,,Aleksandra Rybickiego,,,museum,,,,,,,,,,,,,,Museum der Volksbauweise in Sanok,,,,,,,,,,The Museum of Folk Architecture - Ethnographic Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Музей народної архітектури у Сяноці,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1517,way/351862348,POINT (16.282321114169513 51.745188049999996),16.282321114169513,51.745188049999996,castle,"Pałac ""Czerwony Róg""",yes,8B,67-407,palace,szlichtyngowa.e-mapa.net,0376320,Jędrzychowice,,,,,2,,,nid,K.O.K.I. 203/61,,1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1518,way/351946415,POINT (21.807423105752626 49.71154985),21.807423105752626,49.71154985,manor,Dwór Szeptyckich,yes,20,38-420,,emuia.gugik.gov.pl,0354784,,Korczyna,,,Spółdzielcza,,,,,,,,,,,,,20696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1519,way/352176312,POINT (22.516920023273954 51.7232712),22.516920023273954,51.7232712,castle,,yes,1,21-345,palace,emuia.gugik.gov.pl,0378885,,Borki,,,Parkowa,,,,,,,,,,,,,15710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,way/352213821,POINT (16.877205371848916 54.192626149999995),16.877205371848916,54.192626149999995,castle,,yes,33,77-224,palace,kepice.e-mapa.net,0744953,Biesowice,,,geoportal.gov.pl:ortofoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,way/352311588,POINT (20.24956679420141 50.9503711),20.24956679420141,50.9503711,castle,Pałac Dobieckich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1522,way/352335017,POINT (21.89382707562762 49.6705626),21.89382707562762,49.6705626,manor,Dwór,yes,93,36-213,,emuia.gugik.gov.pl,0351248,Haczów,,Q30231892,,,2,,,nid,A-313,,after 1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1523,way/352506623,POINT (20.4916736 50.9314124),20.4916736,50.9314124,castle,Dwór obronny Ostrogskich w Chełmcach Kieleckich,yes,71,26-067,manor,strawczyn.e-mapa.net,0273270,,Chełmce,,,Turystyczna,,,,,,,XVIw.,,,https://www.zamki.pl/?idzamku=chelmce,,private,23184,,,,,,medieval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,way/352517519,POINT (20.84608771138837 51.41495425),20.84608771138837,51.41495425,castle,Dwór w Konarach,hotel,,,palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1525,way/352799191,POINT (20.947539602266204 50.85084665),20.947539602266204,50.85084665,manor,Dworek Józefa Ozgi Michalskiego,yes,37a,26-004,,emuia.gugik.gov.pl,0991278,,Bieliny,,,Stefana Żeromskiego,,,attraction,,,,,,,,,,26464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duplicate address in import (zdublowany adres w promeniu 100 metrów),,,,,,,,,,,,,,,,,,,,,,,,
1526,way/353398999,POINT (16.80899992774024 54.39268055),16.80899992774024,54.39268055,castle,,yes,1,76-122,palace,slawno.e-mapa.net,0750356,Noskowo,,,geoportal.gov.pl:ortofoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1527,way/353630614,POINT (19.971376718257225 50.6053716),19.971376718257225,50.6053716,manor,Pałac Byszewskich,yes,257,28-350,,emuia.gugik.gov.pl,0269274,Słupia,,,,,2,,,nid,A.147/1-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1528,way/353692241,POINT (19.687652844093655 50.7818652),19.687652844093655,50.7818652,manor,Fortalicja Koniecpolskich w Koniecpolu-Chrząstowie,yes,,,,,,,,,,,,,,,,,1540,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,way/353720555,POINT (19.607735937992175 50.75975575),19.607735937992175,50.75975575,manor,Dwór w Podlesiu,yes,,,,,,,,Q24946452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dwór w Podlesiu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1530,way/353913842,POINT (20.005255591642925 50.653413),20.005255591642925,50.653413,castle,Pałac Potockich,yes,19,29-130,palace,moskorzew.e-mapa.net,0138320,,Chlewice,,,16 Stycznia,,,,,,,,,,,,,21444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,way/353952892,POINT (19.830886400154014 50.62448815),19.830886400154014,50.62448815,castle,Pałac Dembińskich,yes,25,42-445,palace,gugik.gov.pl,0932413,,Szczekociny,Q24945540,,Senatorska,,pl:Pałac Dembińskich w Szczekocinach,,,,,1780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1532,way/354397434,POINT (16.833564105654503 51.202995),16.833564105654503,51.202995,castle,Zamek Rycerski w Brzezinie Wrocławskiej,residential,1,55-330,tower,,,,Brzezina,,,Parkowa,,,,,,,C16,,,,,,,,,,,,medieval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,way/354703358,POINT (20.68858136181283 50.5159121),20.68858136181283,50.5159121,manor,Dwór kasztel w Szańcu,yes,232,28-100,palace,buskozdroj.e-mapa.net,0232905,Szaniec,,Q15966290,,,,pl:Dwór_w_Szańcu,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1534,way/354894989,POINT (16.45189051688847 52.6243065),16.45189051688847,52.6243065,castle,Ruiny zamku w Ostrorogu,,6,64-560,defensive,ostrorog.e-mapa.net,0971264,,Ostroróg,Q9386701,,Zamkowa,2,pl:Zamek w Ostrorogu,,nid,514/A z 17.04.1969,,C14,,zamek w Ostrorogu wzniesiony został na przełomie XIV i XV wieku przez ród Nałęczów,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,PL.1.9.ZIPOZ.NID_A_30_AR.37192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
